Author,Name,Format,Price,Rating,Url
Андрей Леонидович Булгаков; Анна Валентиновна Алешина,Обществознание. 10 класс. Рабочая тетрадь к учебнику. (Общее образование). Практическое пособие.,текст,399.0,0.0,https://www.litres.ru/book/andrey-leonidovich-b/obschestvoznanie-10-klass-rabochaya-tetrad-k-uchebnik-69176158/
Михаил Булгаков,Записки на манжетах,аудиокнига,99.0,2.0,https://www.litres.ru/audiobook/mihail-bulgakov/zapiski-na-manzhetah-4953082/
Михаил Булгаков,М. А. Булгаков. Сборник,текст,129.0,4.2,https://www.litres.ru/book/mihail-bulgakov/m-a-bulgakov-sbornik-69607708/
Борис Соколов,"Москва мистическая, Москва загадочная",текст,379.0,2.2,https://www.litres.ru/book/boris-vadimovich-sokolov/moskva-misticheskaya-moskva-zagadochnaya-20031212/
Алексей Николаевич Жеребцов; Андрей Николаевич Булгаков,Расследование административных правонарушений в области дорожного движения. Учебное пособие для СПО,текст,369.0,0.0,https://www.litres.ru/book/aleksey-nikolaevich/rassledovanie-administrativnyh-pravonarusheniy-v-obla-51386775/
Михаил Булгаков,Звёздная сыпь,аудиокнига,89.0,6.0,https://www.litres.ru/audiobook/mihail-bulgakov/zvezdnaya-syp-6604173/
Владимир Алексеевич Колганов,Булгаков и княгиня,текст,,0.0,https://www.litres.ru/book/vladimir-alekseevich-kolganov/bulgakov-i-knyaginya-55614279/
Валентин Булгаков,Как прожита жизнь. Воспоминания последнего секретаря Л. Н. Толстого,текст,349.0,4.8,https://www.litres.ru/book/vaalentin-bulgakov/kak-prozhita-zhizn-vospominaniya-poslednego-sekretarya-17190423/
Михаил Булгаков,Дни Турбиных,аудиокнига,169.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/dni-turbinyh-68662549/
Михаил Булгаков,Морфий (сборник),аудиокнига,179.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/morfiy-67261574/
Михаил Булгаков,Морфий (сборник),аудиокнига,159.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/morfiy-38609855/
Андрей Викторович Яценко,Противоречия в романе «Мастер и Маргарита» Михаила Булгакова,текст,,1.0,https://www.litres.ru/book/andrey-viktorovich-y/protivorechiya-v-romane-master-i-margarita-mihaila-bu-66687006/
С. Н. Булгаков; А. И. Виноградов,Энергоэкономичные ширококорпусные жилые дома XXI века,текст,298.0,0.0,https://www.litres.ru/book/a-i-vinogradov-10984/energoekonomichnye-shirokokorpusnye-zhilye-doma-xxi-v-23567595/
Михаил Булгаков,Дьяволиада,аудиокнига,99.0,2.0,https://www.litres.ru/audiobook/mihail-bulgakov/dyavoliada-4953079/
Михаил Булгаков,Морфий,аудиокнига,99.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/morfiy-67920999/
Юрий Кривоносов,Михаил Булгаков и его время,текст,279.0,1.0,https://www.litres.ru/book/uriy-krivonosov/mihail-bulgakov-i-ego-vremya-28061848/
Михаил Булгаков,Стальное горло,аудиокнига,89.0,6.0,https://www.litres.ru/audiobook/mihail-bulgakov/stalnoe-gorlo-6604185/
Михаил Булгаков,Ранние рассказы,аудиокнига,253.0,2.0,https://www.litres.ru/audiobook/mihail-bulgakov/rannie-rasskazy-24505662/
Михаил Булгаков,Дьяволиада,аудиокнига,253.0,3.0,https://www.litres.ru/audiobook/mihail-bulgakov/dyavoliada-48765035/
Борис Мягков,Булгаков на Патриарших,текст,199.0,4.0,https://www.litres.ru/book/boris-myagkov/bulgakov-na-patriarshih-2849815/
Борис Соколов,Булгаков. Мастер и демоны судьбы,текст,719.0,4.5,https://www.litres.ru/book/boris-vadimovich-sokolov/bulgakov-master-i-demony-sudby-19195905/
Коллектив авторов,Булгаков М.А. 100 и 1 цитата,текст,322.0,4.0,https://www.litres.ru/book/raznoe-4340152/bulgakov-m-a-100-i-1-citata-23395874/
Геннадий Смолин,Булгаков на пороге вечности. Мистико-эзотерическое расследование загадочной гибели Михаила Булгакова,текст,400.0,1.0,https://www.litres.ru/book/gennadiy-smolin/bulgakov-na-poroge-vechnosti-mistiko-ezotericheskoe-rassle-36066901/
Константин Трунин,Булгаков. Критика и анализ литературного наследия,текст,,1.0,https://www.litres.ru/book/konstantin-trunin/m-bulgakov-kritika-i-analiz-literaturnogo-naslediya-42572827/
Наталия Шашина,"Булгаков и НКВД, Шолохов и чужая рукопись: мифы о русских классиках",,26.0,0.0,https://www.litres.ru/podcast/nataliya-shashina/bulgakov-i-nkvd-sholohov-i-chuzhaya-rukopis-mify-o-russk-67757134/
Вадим Гроссман; Наталия Щеглова,Булгаков - «Мадмазель Жанна»,,,0.0,https://www.litres.ru/podcast/vadim-grossman/bulgakov-madmazel-zhanna-70126491/
Вадим Гроссман; Наталия Щеглова,"Булгаков - ""Полотенце с петухом""",,,0.0,https://www.litres.ru/podcast/vadim-grossman/bulgakov-polotence-s-petuhom-70126497/
Оксана Иванова,Играют все,текст,299.0,1.0,https://www.litres.ru/book/oksana-ivanova-18508956/igraut-vse-42352292/
Владимир Алексеевич Колганов,Москва Михаила Булгакова,текст,,1.0,https://www.litres.ru/book/vladimir-alekseevich-kolganov/moskva-mihaila-bulgakova-51860151/
Михаил Булгаков,Москва краснокаменная. Очерки и рассказы,аудиокнига,229.0,3.0,https://www.litres.ru/audiobook/mihail-bulgakov/moskva-krasnokamennaya-ocherki-i-rasskazy-292012/
Михаил Булгаков,Стальное горло,аудиокнига,99.0,2.0,https://www.litres.ru/audiobook/mihail-bulgakov/stalnoe-gorlo-67835076/
Михаил Булгаков,Вьюга,аудиокнига,99.0,3.0,https://www.litres.ru/audiobook/mihail-bulgakov/vuga-67897956/
Михаил Булгаков,Кабала святош,аудиокнига,89.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/kabala-svyatosh-53465734/
Михаил Булгаков,Морфий,текст,,4.8,https://www.litres.ru/book/mihail-bulgakov/morfiy-616825/
Михаил Булгаков,The Heart of a Dog,текст,,0.0,https://www.litres.ru/book/mihail-bulgakov/the-heart-of-a-dog-69482278/
Н. А. Плаксицкая,«Расколотый» человек в «раздробленном» мире. Образ мира и образ человека в сатире М. А. Булгакова,текст,200.0,0.0,https://www.litres.ru/book/natalya-plaksickaya/raskolotyy-chelovek-v-razdroblennom-mire-obraz-mira-i-65618767/
Ирина Галинская,Дж. С. Сэлинджер и М. Булгаков в современных толкованиях,текст,199.0,0.0,https://www.litres.ru/book/irina-lvovna-galinsk/dzh-s-selindzher-i-m-bulgakov-v-sovremennyh-tolkovani-12118207/
К. Г. Булгаков,Малоизвестные съедобные грибы,текст,199.0,3.5,https://www.litres.ru/book/k-g-bulgakov/maloizvestnye-sedobnye-griby-21165957/
Михаил Булгаков,Роковые яйца,аудиокнига,99.0,7.0,https://www.litres.ru/audiobook/mihail-bulgakov/rokovye-yayca-4953088/
Михаил Булгаков,Морфий,аудиокнига,99.0,0.0,https://www.litres.ru/audiobook/mihail-bulgakov/morfiy-69978685/
Михаил Булгаков,Крещение поворотом,аудиокнига,89.0,4.0,https://www.litres.ru/audiobook/mihail-bulgakov/kreschenie-povorotom-6604176/
Ольга Поволоцкая,Щит Персея. Личная тайна как предмет литературы,текст,169.0,2.5,https://www.litres.ru/book/olga-povolockaya/schit-perseya-lichnaya-tayna-kak-predmet-literatury-11961939/
Геннадий Смолин,Как отравили Булгакова. Яд для гения,текст,169.0,3.4,https://www.litres.ru/book/gennadiy-smolin/kak-otravili-bulgakova-yad-dlya-geniya-19377167/
Сергей Булгаков,Чехов как мыслитель,аудиокнига,179.0,0.0,https://www.litres.ru/audiobook/sergey-bulgakov/chehov-kak-myslitel-41553891/
Михаил Булгаков,Полотенце с петухом,аудиокнига,99.0,0.0,https://www.litres.ru/audiobook/mihail-bulgakov/polotence-s-petuhom-67993436/
Михаил Булгаков,Полотенце с петухом,аудиокнига,99.0,2.0,https://www.litres.ru/audiobook/mihail-bulgakov/polotence-s-petuhom-68807154/
Сергей Булгаков,Основные проблемы теории прогресса,аудиокнига,159.0,0.0,https://www.litres.ru/audiobook/sergey-bulgakov/osnovnye-problemy-teorii-progressa-34997647/
Сергей Булгаков,Человекобог и человекозверь,аудиокнига,179.0,0.0,https://www.litres.ru/audiobook/sergey-bulgakov/chelovekobog-i-chelovekozver-39428369/
